OrphaCode,DisorderName,DisorderType,ExpertLink,IsLeaf,OrphaCodePath,ClassificationPath,ClassificationTypes,ClassificationDepth
457205,Infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=457205,1,98006 > 182070 > 457205,Rare neurologic disease > Rare neurodegenerative disease > Infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome,Category > Category > Disease,3
457375,ITPA-related lethal infantile neurological disorder with cataract and cardiac involvement,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=457375,1,98006 > 182070 > 457375,Rare neurologic disease > Rare neurodegenerative disease > ITPA-related lethal infantile neurological disorder with cataract and cardiac involvement,Category > Category > Disease,3
457406,Multiple mitochondrial dysfunctions syndrome type 4,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=457406,1,98006 > 182070 > 457406,Rare neurologic disease > Rare neurodegenerative disease > Multiple mitochondrial dysfunctions syndrome type 4,Category > Category > Disease,3
478029,Combined oxidative phosphorylation defect type 29,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=478029,1,98006 > 182070 > 478029,Rare neurologic disease > Rare neurodegenerative disease > Combined oxidative phosphorylation defect type 29,Category > Category > Disease,3
480864,Recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=480864,1,98006 > 182070 > 480864,Rare neurologic disease > Rare neurodegenerative disease > Recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome,Category > Category > Disease,3
496641,Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome,Malformation syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=496641,1,98006 > 182070 > 496641,Rare neurologic disease > Rare neurodegenerative disease > Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome,Category > Category > Malformation syndrome,3
497906,Childhood-onset basal ganglia degeneration syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=497906,1,98006 > 182070 > 497906,Rare neurologic disease > Rare neurodegenerative disease > Childhood-onset basal ganglia degeneration syndrome,Category > Category > Disease,3
500180,Childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=500180,1,98006 > 182070 > 500180,Rare neurologic disease > Rare neurodegenerative disease > Childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder,Category > Category > Disease,3
505242,Psychomotor regression-oculomotor apraxia-movement disorder-nephropathy syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=505242,1,98006 > 182070 > 505242,Rare neurologic disease > Rare neurodegenerative disease > Psychomotor regression-oculomotor apraxia-movement disorder-nephropathy syndrome,Category > Category > Disease,3
508093,MEPAN syndrome,Malformation syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=508093,1,98006 > 182070 > 508093,Rare neurologic disease > Rare neurodegenerative disease > MEPAN syndrome,Category > Category > Malformation syndrome,3
